"SRNumber","CreatedDate","RequestType","Status","Address","Latitude","Longitude","CD","NCName"
"1-3202602011","2023-01-01T00:00:46.000","Bulky Items","Closed","10835 N SHERMAN GROVE AVE, 91040","34.2660591423","-118.320305314","7","Sunland-Tujunga"
"1-3202603151","2023-01-01T00:10:19.000","Bulky Items","Closed","233 S ALEXANDRIA AVE, 90004","34.0701510842","-118.298104315","10","Wilshire Center-Koreatown"
"1-3202610701","2023-01-01T00:35:51.000","Bulky Items","Closed","6506 N BEEMAN AVE, 91606","34.1887276605","-118.407156325","2","Greater Valley Glen"
"1-3202609221","2023-01-01T00:50:22.000","Bulky Items","Closed","329 S CLOVERDALE AVE, 90036","34.0680772645","-118.346341594","5","Mid-City West"
"1-3202616971","2023-01-01T01:01:53.000","Bulky Items","Closed","18839 W CELTIC ST, 91326","34.2689986835","-118.54415203","12","Northridge West"
"1-3202617661","2023-01-01T01:07:17.000","Graffiti Removal","Cancelled","SHERMAN WAY AT VALJEAN AVE, 91406","34.2010392819","-118.4858854","6","Lake Balboa"
"1-3202622321","2023-01-01T01:10:14.000","Graffiti Removal","Cancelled","LINDLEY AVE AT SATICOY ST, 91335","34.2083834464","-118.527370975","4","Reseda"
"1-3202621731","2023-01-01T01:17:27.000","Graffiti Removal","Closed","545 S MATHEWS ST, 90033","34.0375099701","-118.212551882","14","Boyle Heights"
"1-3202624411","2023-01-01T01:21:13.000","Bulky Items","Closed","626 W 15TH ST, 90731","33.7306898279","-118.290819583","15","Central San Pedro"
"1-3202625491","2023-01-01T01:30:59.000","Graffiti Removal","Closed","14094 W VAN NUYS BLVD, 91331","34.2525278195","-118.440351915","6","Arleta"
"1-3202631351","2023-01-01T01:45:12.000","Bulky Items","Closed","1331 S LELAND ST, 90731","33.731897665","-118.301368737","15","Northwest San Pedro"
"1-3202630801","2023-01-01T01:45:15.000","Bulky Items","Closed","2810 N HOLLYRIDGE DR, 90068","34.1197145326","-118.31902161","4","Hollywood United"
"1-3202626891","2023-01-01T02:15:20.000","Graffiti Removal","Closed","15111 W ARCHWOOD ST, 91405","34.1931637787","-118.462358446","6","Van Nuys"
"1-3202641041","2023-01-01T03:52:19.000","Illegal Dumping Pickup","Closed","8634 N COLUMBUS AVE, 91343","34.2270516168","-118.46534257","6","North Hills East"
"1-3202645821","2023-01-01T04:01:52.000","Illegal Dumping Pickup","Closed","15316 W CHASE ST, 91343","34.2245268228","-118.465914893","6","North Hills East"
"1-3202649391","2023-01-01T04:12:21.000","Bulky Items","Closed","1409 W BRETT PL, 90732","33.7558732771","-118.306493555","15","Northwest San Pedro"
"1-3202635851","2023-01-01T05:26:06.000","Bulky Items","Closed","16329 S FIGUEROA ST, 90248","33.883416367","-118.282802305","15","Harbor Gateway North"
"1-3202654421","2023-01-01T05:31:24.000","Graffiti Removal","Closed","12385 W OSBORNE ST, 91331","34.2609305","-118.402966848","7","Pacoima"
"1-3202650881","2023-01-01T05:36:30.000","Graffiti Removal","Closed","12397 W OSBORNE ST, 91331","34.2605191403","-118.403046397","7","Pacoima"
"1-3202656591","2023-01-01T05:54:11.000","Bulky Items","Closed","6156 W SAN VICENTE BLVD, 90048","34.059401685","-118.365321787","5","Mid-City West"
"1-3202658251","2023-01-01T06:03:03.000","Graffiti Removal","Closed","5159 E LINCOLN AVE, 90042","34.1199071602","-118.203093944","1","Historic Highland Park"
"1-3202647691","2023-01-01T06:06:07.000","Bulky Items","Closed","215 N MALGREN AVE, 90732","33.7452850041","-118.315427038","15","Northwest San Pedro"
"1-3202660391","2023-01-01T06:14:44.000","Graffiti Removal","Closed","WHITSETT AVE AT KLING ST, 91604","34.1557945066","-118.405260631","4","Studio City"
"1-3202655241","2023-01-01T06:18:54.000","Bulky Items","Closed","1310 W CHANDLER ST, 90744","33.7957651444","-118.278584269","15","Wilmington"
"1-3202661961","2023-01-01T06:31:54.000","Bulky Items","Closed","1310 W CHANDLER ST, 90744","33.7957651444","-118.278584269","15","Wilmington"
"1-3202663941","2023-01-01T06:32:53.000","Bulky Items","Closed","12186 N CANYON HILL AVE, 91342","34.2923585706","-118.466313051","7","Sylmar"
"1-3202664661","2023-01-01T06:43:02.000","Bulky Items","Closed","7529 S TRASK AVE, 90293","33.9527981025","-118.443451788","11","Westchester/Playa"
"1-3202661281","2023-01-01T06:48:22.000","Bulky Items","Closed","7067 N FIGUEROA ST, 90042","34.13082296","-118.188887715","14","Eagle Rock"
"1-3202667761","2023-01-01T06:49:54.000","Bulky Items","Closed","5907 E TIPTON WAY, 90042","34.1298469344","-118.190603501","14","Eagle Rock"
"1-3202661861","2023-01-01T06:51:13.000","Bulky Items","Closed","7112 N FIGUEROA ST, 90042","34.1312715341","-118.188744979","14","Eagle Rock"
"1-3202651571","2023-01-01T06:56:34.000","Bulky Items","Closed","19829 W SEPTO ST, 91311","34.2510362154","-118.565467367","12","Chatsworth"
"1-3202675951","2023-01-01T07:06:29.000","Bulky Items","Closed","20144 W RUNNYMEDE ST, 91306","34.2058047491","-118.572088195","3","Winnetka"
"1-3202670511","2023-01-01T07:20:40.000","Graffiti Removal","Closed","820 S GRAND VIEW ST, 90057","34.0552043082","-118.280285092","1","MacArthur Park"
"1-3202671591","2023-01-01T07:26:20.000","Graffiti Removal","Closed","3511 W FLORENCE AVE, 90043","33.9746672703","-118.333253355","8","Park Mesa Heights"
"1-3202680651","2023-01-01T07:33:35.000","Bulky Items","Closed","15239 W MARLIN PL, 91405","34.1976445418","-118.464975669","6","Van Nuys"
"1-3202682351","2023-01-01T07:36:18.000","Homeless Encampment","Pending","5530 N VAN NUYS BLVD, 91401","34.1710974784","-118.448412193","4","Van Nuys"
"1-3202679411","2023-01-01T07:38:45.000","Illegal Dumping Pickup","Pending","5530 N VAN NUYS BLVD, 91401","34.1710974784","-118.448412193","4","Van Nuys"
"1-3202689661","2023-01-01T07:44:59.000","Bulky Items","Closed","4449 W LOCKWOOD AVE, 90029","34.0888267673","-118.290842713","13","East Hollywood"
"1-3202691421","2023-01-01T07:51:34.000","Bulky Items","Closed","10214 N INDEPENDENCE AVE, 91311","34.2558744602","-118.590602165","12","Chatsworth"
"1-3202692961","2023-01-01T07:52:36.000","Graffiti Removal","Cancelled","126 W AVENUE 29, 90031","34.0800839861","-118.215575985","1","Lincoln Heights"
"1-3202693751","2023-01-01T07:53:01.000","Bulky Items","Closed","2010 S 8TH AVE, 90018","34.0386102649","-118.325921449","10","United Neighborhoods"
"1-3202697251","2023-01-01T07:56:53.000","Bulky Items","Closed","10651 N REDMONT AVE, 91042","34.2627425917","-118.29258393","7","Sunland-Tujunga"
"1-3202694401","2023-01-01T08:04:03.000","Bulky Items","Closed","12504 W VENICE BLVD, 90066","34.0025581696","-118.435258938","11","Mar Vista"
"1-3202702111","2023-01-01T08:12:20.000","Bulky Items","Closed","2306 S PARNELL AVE, 90064","34.0451861185","-118.4233146","5","Westside"
"1-3202700351","2023-01-01T08:13:30.000","Bulky Items","Closed","11956 W GORHAM AVE, 90049","34.0502295749","-118.470480613","11",""
"1-3202706021","2023-01-01T08:14:26.000","Bulky Items","Closed","930 N GRAND AVE, 90731","33.7513998629","-118.28996209","15","Central San Pedro"
"1-3202706631","2023-01-01T08:15:39.000","Bulky Items","Closed","16255 W DEVONSHIRE ST, 91344","34.2575763346","-118.487016504","12","Granada Hills South"
"1-3202709341","2023-01-01T08:16:35.000","Bulky Items","Closed","610 W MAC ARTHUR AVE, 90731","33.7509315461","-118.290506542","15","Central San Pedro"
"1-3202710251","2023-01-01T08:19:00.000","Bulky Items","Closed","20522 W SCHOENBORN ST, 91306","34.2208646464","-118.58067841","3","Winnetka"
"1-3202710801","2023-01-01T08:19:19.000","Bulky Items","Closed","5005 W AUGUST ST, 90008","34.017386661","-118.353936901","10","Empowerment Congress West"
"1-3202715691","2023-01-01T08:20:11.000","Bulky Items","Closed","5005 W AUGUST ST, 90008","34.017386661","-118.353936901","10","Empowerment Congress West"
"1-3202708621","2023-01-01T08:20:35.000","Bulky Items","Closed","1803 S BARRY AVE, 90025","34.0402161917","-118.451843861","11","West LA - Sawtelle"
"1-3202711141","2023-01-01T08:20:55.000","Bulky Items","Closed","5005 W AUGUST ST, 90008","34.017386661","-118.353936901","10","Empowerment Congress West"
"1-3202717871","2023-01-01T08:21:28.000","Bulky Items","Closed","5005 W AUGUST ST, 90008","34.017386661","-118.353936901","10","Empowerment Congress West"
"1-3202711881","2023-01-01T08:22:12.000","Bulky Items","Closed","10535 N PENFIELD AVE, 91311","34.2616117695","-118.568543743","12","Chatsworth"
"1-3202714471","2023-01-01T08:22:20.000","Bulky Items","Closed","5005 W AUGUST ST, 90008","34.017386661","-118.353936901","10","Empowerment Congress West"
"1-3202718661","2023-01-01T08:23:47.000","Bulky Items","Closed","10506 N AQUEDUCT AVE, 91344","34.261266745","-118.474048814","12","Granada Hills South"
"1-3202720611","2023-01-01T08:24:11.000","Illegal Dumping Pickup","Closed","8803 N AMIGO AVE, 91324","34.2309342095","-118.538810889","12","Northridge South"
"1-3202726281","2023-01-01T08:25:27.000","Bulky Items","Closed","12000 W OCEAN PARK BLVD, 90064","34.0246416688","-118.44560767","11","Mar Vista"
"1-3202726931","2023-01-01T08:26:17.000","Homeless Encampment","Closed","535 S ESTUDILLO AVE, 90063","34.0309895516","-118.196173274","14","Boyle Heights"
"1-3202727901","2023-01-01T08:26:41.000","Bulky Items","Closed","12000 W OCEAN PARK BLVD, 90064","34.0246416688","-118.44560767","11","Mar Vista"
"1-3202727561","2023-01-01T08:26:54.000","Bulky Items","Closed","14925 W SHERMAN WAY, 91405","34.2013884694","-118.458284925","6","Van Nuys"
"1-3202724721","2023-01-01T08:27:28.000","Homeless Encampment","Closed","515 S ESTUDILLO AVE, 90063","34.0310818537","-118.195656121","14","Boyle Heights"
"1-3202731911","2023-01-01T08:28:21.000","Homeless Encampment","Closed","3456 E LANFRANCO ST, 90063","34.030733532","-118.196776305","14","Boyle Heights"
"1-3202732541","2023-01-01T08:28:43.000","Bulky Items","Closed","14925 W SHERMAN WAY, 91405","34.2013884694","-118.458284925","6","Van Nuys"
"1-3202734501","2023-01-01T08:29:45.000","Bulky Items","Closed","9843 W MCBROOM ST, 91040","34.2636315529","-118.345985987","7","Foothills Trails District"
"1-3202731451","2023-01-01T08:30:47.000","Bulky Items","Closed","15125 W DOMINO ST, 91411","34.1840613897","-118.462646996","6","Van Nuys"
"1-3202740941","2023-01-01T08:36:04.000","Bulky Items","Closed","4812 S INGLEWOOD BLVD, 90230","33.9924977435","-118.414092093","11","Del Rey"
"1-3202743451","2023-01-01T08:36:50.000","Bulky Items","Closed","13614 W HARTLAND ST, 91405","34.1947719116","-118.429487608","2","Greater Valley Glen"
"1-3202738201","2023-01-01T08:38:38.000","Bulky Items","Closed","12813 N BORDEN AVE, 91342","34.3029972686","-118.437616795","7","Sylmar"
"1-3202745381","2023-01-01T08:39:51.000","Bulky Items","Closed","13452 W MUSCATINE ST, 91331","34.2293070125","-118.425948704","6","Arleta"
"1-3202744271","2023-01-01T08:40:28.000","Bulky Items","Closed","5628 W CIELO WAY, 90028","34.1025580107","-118.312579862","13","Hollywood United"
"1-3202751081","2023-01-01T08:41:42.000","Graffiti Removal","Closed","OXNARD ST AT SIMPSON AVE, 91607","34.1793977715","-118.388908307","2","NoHo"
"1-3202753481","2023-01-01T08:43:18.000","Bulky Items","Closed","19728 W KILFINAN ST, 91326","34.2970033642","-118.563997029","12","Porter Ranch"
"1-3202750751","2023-01-01T08:46:07.000","Homeless Encampment","Closed","SAN VICENTE BLVD AT ORLANDO AVE, 90048","34.067633385","-118.374064107","5","Mid-City West"
"1-3202756391","2023-01-01T08:46:14.000","Graffiti Removal","Closed","11744 W OXNARD ST, 91606","34.1792601084","-118.389523129","2","NoHo"
"1-3202758341","2023-01-01T08:46:54.000","Homeless Encampment","Closed","CATALINA ST AT 3RD ST, 90020","34.0690266401","-118.295455571","10","Wilshire Center-Koreatown"
"1-3202760081","2023-01-01T08:47:50.000","Illegal Dumping Pickup","Closed","CATALINA ST AT 3RD ST, 90020","34.0690266401","-118.295455571","10","Wilshire Center-Koreatown"
"1-3202761771","2023-01-01T08:48:05.000","Bulky Items","Closed","19728 W KILFINAN ST, 91326","34.2970033642","-118.563997029","12","Porter Ranch"
"1-3202763511","2023-01-01T08:50:04.000","Bulky Items","Closed","3947 S ALBRIGHT AVE, 90066","34.0079960888","-118.418579607","11","Mar Vista"
"1-3202760781","2023-01-01T08:50:16.000","Bulky Items","Closed","11572 W RIVERSIDE DR, 91602","34.1574549995","-118.384650903","2","Valley Village"
"1-3202764221","2023-01-01T08:51:22.000","Bulky Items","Closed","12022 W REDBANK ST, 91352","34.2252124374","-118.394749002","6","Sun Valley Area"
"1-3202766731","2023-01-01T08:53:25.000","Bulky Items","Closed","642 E 43RD PL, 90011","34.0046151603","-118.264427049","9","Zapata-King"
"1-3202762891","2023-01-01T08:55:36.000","Bulky Items","Closed","8025 S ALVERSTONE AVE, 90045","33.9663537119","-118.398545287","11","Westchester/Playa"
"1-3202770501","2023-01-01T08:56:23.000","Bulky Items","Closed","1073 N HANLEY AVE, 90049","34.0777775313","-118.490846046","11",""
"1-3202772561","2023-01-01T08:59:00.000","Bulky Items","Closed","834 S LUCERNE BLVD, 90005","34.0591946166","-118.325371909","5","Greater Wilshire"
"1-3202776211","2023-01-01T08:59:55.000","Bulky Items","Closed","7712 N ROYER AVE, 91304","34.2105240781","-118.627591061","12","West Hills"
"1-3202781701","2023-01-01T09:02:31.000","Bulky Items","Closed","12051 N GABRIELA CT, 91326","34.2919643856","-118.578216633","12","Porter Ranch"
"1-3202784421","2023-01-01T09:03:00.000","Bulky Items","Closed","8561 W COLGATE AVE, 90048","34.0709174425","-118.378953621","5","Mid-City West"
"1-3202785961","2023-01-01T09:03:12.000","Bulky Items","Closed","4834 E ZELLA PL, 90032","34.0681282771","-118.179379343","14","LA-32"
"1-3202780111","2023-01-01T09:04:20.000","Bulky Items","Closed","9009 N TOBIAS AVE, 91402","34.2333110346","-118.451816023","6","Panorama City"
"1-3202780641","2023-01-01T09:04:40.000","Bulky Items","Closed","11202 W MORRISON ST, 91601","34.1606883847","-118.374826923","2","NoHo"
"1-3202788171","2023-01-01T09:04:45.000","Bulky Items","Closed","4325 N MAMMOTH AVE, 91423","34.1490297459","-118.432751153","4","Sherman Oaks"
"1-3202787871","2023-01-01T09:05:26.000","Bulky Items","Closed","5045 N KLUMP AVE, 91601","34.1620497","-118.375914647","2","NoHo"
"1-3202789641","2023-01-01T09:05:57.000","Bulky Items","Closed","5740 W FRANKLIN AVE, 90028","34.1050977251","-118.314325575","13","Hollywood United"
"1-3202792631","2023-01-01T09:11:30.000","Homeless Encampment","Pending","VANOWEN ST AT HASKELL AVE, 91406","34.1938999803","-118.474961988","6","Lake Balboa"
"1-3202793431","2023-01-01T09:12:07.000","Bulky Items","Closed","3217 S CHEVIOT VISTA PL, 90034","34.0300639386","-118.415102275","5","Palms"
"1-3202782341","2023-01-01T09:13:26.000","Bulky Items","Closed","3950 S HILLCREST DR, 90008","34.0149130264","-118.345160907","10","Empowerment Congress West"
"1-3202782871","2023-01-01T09:13:34.000","Bulky Items","Closed","536 N GOWER ST, 90004","34.080007939","-118.322613632","13","Greater Wilshire"
"1-3202794861","2023-01-01T09:13:58.000","Bulky Items","Closed","7710 S BRIGHTON AVE, 90047","33.9697070541","-118.301299341","8","Empowerment Congress Southwest"
"1-3202799501","2023-01-01T09:14:26.000","Bulky Items","Closed","7138 W 85TH ST, 90045","33.9605499407","-118.418141917","11","Westchester/Playa"
"1-3202801731","2023-01-01T09:16:12.000","Bulky Items","Closed","1464 S ROXBURY DR, 90035","34.0521932336","-118.401464436","5","South Robertson"
"1-3202797711","2023-01-01T09:16:37.000","Bulky Items","Closed","1450 N ECHO PARK AVE, 90026","34.0790394259","-118.255782075","13","Echo Park"
"1-3202807421","2023-01-01T09:17:00.000","Bulky Items","Closed","1934 S COMSTOCK AVE, 90025","34.0546448952","-118.421329831","5","Westside"
"1-3202808151","2023-01-01T09:18:10.000","Illegal Dumping Pickup","Closed","6610 W FOOTHILL BLVD, 91042","34.2464121054","-118.276486123","7","Sunland-Tujunga"
"1-3202810761","2023-01-01T09:18:41.000","Bulky Items","Closed","9800 N AURA AVE, 91324","34.2484629193","-118.554338428","12","Northridge West"
"1-3202811751","2023-01-01T09:18:44.000","Bulky Items","Closed","9800 N AURA AVE, 91324","34.2484629193","-118.554338428","12","Northridge West"
"1-3202813481","2023-01-01T09:19:40.000","Bulky Items","Closed","7817 S YORKTOWN AVE, 90045","33.9682135118","-118.389106227","11","Westchester/Playa"
"1-3202815071","2023-01-01T09:20:02.000","Bulky Items","Closed","11783 W GAGER ST, 91342","34.2838366245","-118.389461288","7","Foothills Trails District"
"1-3202817421","2023-01-01T09:20:28.000","Bulky Items","Closed","1240 S GRANVILLE AVE, 90025","34.0468483282","-118.461488426","11","West LA - Sawtelle"
"1-3202806591","2023-01-01T09:21:23.000","Illegal Dumping Pickup","Closed","10000 N COMMERCE AVE, 91042","34.2503456109","-118.288471411","7","Sunland-Tujunga"
"1-3202821151","2023-01-01T09:23:28.000","Bulky Items","Closed","3170 W LACLEDE AVE, 90039","34.1135181162","-118.250961271","13","Atwater Village"
"1-3202823161","2023-01-01T09:23:37.000","Homeless Encampment","Closed","1321 N ECHO PARK AVE, 90026","34.0775099367","-118.257139757","13","Echo Park"
"1-3202821871","2023-01-01T09:25:08.000","Bulky Items","Closed","7545 W SHORE CLIFF DR, 90045","33.9647949066","-118.42998747","11","Westchester/Playa"
"1-3202826941","2023-01-01T09:27:32.000","Bulky Items","Pending","1513 1/2 N ROSALIA ROAD, 90027","34.0986375185","-118.286625711","4","Los Feliz"
"1-3202827641","2023-01-01T09:27:50.000","Graffiti Removal","Cancelled","1625 W SUNSET BLVD, 90026","34.0772660926","-118.258074976","13","Echo Park"
"1-3202828621","2023-01-01T09:28:02.000","Bulky Items","Closed","7114 W GREELEY ST, 91042","34.2488918026","-118.286445641","7","Sunland-Tujunga"
"1-3202816611","2023-01-01T09:28:42.000","Bulky Items","Closed","915 S CLOVERDALE AVE, 90036","34.0583771425","-118.347861394","5","Mid-City West"
"1-3202829971","2023-01-01T09:29:35.000","Bulky Items","Closed","2334 S WALNUT AVE, 90291","33.995945956","-118.450483609","11","Venice"
"1-3202832271","2023-01-01T09:29:35.000","Bulky Items","Closed","21001 W COVELLO ST, 91303","34.2074234201","-118.590911889","3","Canoga Park"
"1-3202834051","2023-01-01T09:31:00.000","Bulky Items","Closed","1160 N EL MEDIO AVE, 90272","34.0544418366","-118.532894131","11",""
"1-3202836091","2023-01-01T09:31:34.000","Bulky Items","Closed","1337 S WELLESLEY AVE, 90025","34.0405873795","-118.467002845","11","West LA - Sawtelle"
"1-3202838461","2023-01-01T09:32:57.000","Bulky Items","Closed","5404 N VELOZ AVE, 91356","34.1685748241","-118.539844828","3","Tarzana"
"1-3202830791","2023-01-01T09:33:08.000","Bulky Items","Closed","212 S AVENUE 58, 90042","34.1080342622","-118.190819266","1","Historic Highland Park"
"1-3202839171","2023-01-01T09:34:00.000","Bulky Items","Closed","5460 N WHITE OAK AVE, 91316","34.1703445721","-118.518234642","4","Encino"
"1-3202839721","2023-01-01T09:35:01.000","Bulky Items","Closed","7728 N WISH AVE, 91406","34.2112796422","-118.506497701","6","Lake Balboa"
"1-3202841601","2023-01-01T09:35:51.000","Graffiti Removal","Referred Out","6150 E PIEDMONT AVE, 90042","34.1131187944","-118.188964558","14","Historic Highland Park"
"1-3202842431","2023-01-01T09:36:32.000","Bulky Items","Closed","1905 N WESTRIDGE TER, 90049","34.0700571736","-118.500033032","11",""
"1-3202846471","2023-01-01T09:40:07.000","Bulky Items","Closed","10155 N PINEWOOD AVE, 91042","34.2538665603","-118.286066484","7","Sunland-Tujunga"
"1-3202849981","2023-01-01T09:40:39.000","Bulky Items","Closed","3855 W INGRAHAM ST, 90005","34.0608246331","-118.311000697","10","Wilshire Center-Koreatown"
"1-3202850971","2023-01-01T09:43:43.000","Bulky Items","Closed","719 E CRESTMOORE PL, 90291","33.9901622401","-118.455592356","11","Venice"
"1-3202853281","2023-01-01T09:44:02.000","Homeless Encampment","Closed","7020 W BEVERLY BLVD, 90036","34.0759850246","-118.343625127","5","Greater Wilshire"
"1-3202851711","2023-01-01T09:44:33.000","Bulky Items","Closed","827 N HARTZELL ST, 90272","34.0441036845","-118.519554121","11",""
"1-3202856411","2023-01-01T09:45:17.000","Illegal Dumping Pickup","Closed","1000 N NORMANDIE AVE, 90029","34.088673932","-118.300358739","13","East Hollywood"
"1-3202854191","2023-01-01T09:46:01.000","Illegal Dumping Pickup","Closed","5156 N DAHLIA DR, 90041","34.1412446442","-118.199664682","14","Eagle Rock"
"1-3202859251","2023-01-01T09:46:55.000","Bulky Items","Closed","560 E VENICE BLVD, 90291","33.9883649465","-118.463186174","11","Venice"
"1-3202854881","2023-01-01T09:47:30.000","Homeless Encampment","Closed","5411 N ETIWANDA AVE, 91356","34.1693440596","-118.53107782","3","Tarzana"
"1-3202862391","2023-01-01T09:47:33.000","Graffiti Removal","Closed","300 S BERENDO ST, 90020","34.0689814001","-118.294081778","10","Wilshire Center-Koreatown"
"1-3202863181","2023-01-01T09:48:14.000","Bulky Items","Closed","4709 N FARMDALE AVE, 91602","34.1560509636","-118.381369799","2","Valley Village"
"1-3202865081","2023-01-01T09:48:28.000","Graffiti Removal","Closed","3631 W 3RD ST, 90020","34.0691764871","-118.295174129","10","Wilshire Center-Koreatown"
"1-3202860581","2023-01-01T09:49:01.000","Bulky Items","Closed","701 S GRAMERCY DR, 90005","34.0592153257","-118.312365552","5","Greater Wilshire"
"1-3202867861","2023-01-01T09:49:57.000","Bulky Items","Closed","5245 W THORNBURN ST, 90045","33.9695664644","-118.37146676","11","Westchester/Playa"
"1-3202858761","2023-01-01T09:50:02.000","Bulky Items","Closed","5911 N BALCOM AVE, 91316","34.1778147476","-118.520601699","4","Encino"
"1-3202868541","2023-01-01T09:50:03.000","Graffiti Removal","Closed","4409 W WILLOW BROOK AVE, 90029","34.0898271319","-118.287255716","13","East Hollywood"
"1-3202872371","2023-01-01T09:51:18.000","Bulky Items","Closed","2331 S HILLCREST DR, 90016","34.035381928","-118.340905697","10","Mid City"
"1-3202870521","2023-01-01T09:51:18.000","Homeless Encampment","Pending","EL CENTRO AVE AT SELMA AVE, 90028","34.0998004995","-118.323776176","13","Central Hollywood"
"1-3202869521","2023-01-01T09:51:21.000","Bulky Items","Closed","333 W 9TH ST, 90731","33.7358910302","-118.2843127","15","Central San Pedro"
"1-3202874301","2023-01-01T09:51:36.000","Graffiti Removal","Closed","4460 W SANTA MONICA BLVD, 90029","34.0906966306","-118.286557097","13","East Hollywood"
"1-3202873071","2023-01-01T09:51:38.000","Bulky Items","Closed","3754 S MILITARY AVE, 90034","34.0154135215","-118.414407731","5","Palms"
"1-3202875071","2023-01-01T09:51:40.000","Graffiti Removal","Closed","117 E 27TH ST, 90011","34.0238698981","-118.268637586","9","South Central"
"1-3202873741","2023-01-01T09:51:44.000","Bulky Items","Closed","5209 N WINDERMERE AVE, 90041","34.1419220534","-118.217255541","14","Eagle Rock"
"1-3202877031","2023-01-01T09:53:05.000","Graffiti Removal","Closed","124 E 27TH ST, 90011","34.0235378636","-118.268472578","9","South Central"
"1-3202877691","2023-01-01T09:53:33.000","Bulky Items","Closed","18816 W KILLOCH WAY, 91326","34.2910236236","-118.54303928","12","Porter Ranch"
"1-3202880111","2023-01-01T09:53:59.000","Bulky Items","Closed","14814 W BLEDSOE ST, 91342","34.3141618544","-118.455146288","7","Sylmar"
"1-3202871421","2023-01-01T09:54:06.000","Bulky Items","Closed","5209 N WINDERMERE AVE, 90041","34.1419220534","-118.217255541","14","Eagle Rock"
"1-3202881511","2023-01-01T09:55:40.000","Bulky Items","Closed","5844 N BECKFORD AVE, 91356","34.1770672154","-118.5513794","3","Tarzana"
"1-3202882131","2023-01-01T09:56:47.000","Homeless Encampment","Pending","8601 N SUNLAND BLVD, 91352","34.2254568043","-118.366055705","6","Sun Valley Area"
"1-3202882751","2023-01-01T09:56:53.000","Graffiti Removal","Closed","BURTON ST AT NOBLE AVE, 91402","34.220513674","-118.461883193","6","Panorama City"
"1-3202885871","2023-01-01T09:56:54.000","Bulky Items","Closed","1882 S PANDORA AVE, 90025","34.054356277","-118.423951484","5","Westside"
"1-3202887231","2023-01-01T09:56:57.000","Homeless Encampment","Closed","3116 S PACIFIC AVE, 90292","33.9793767874","-118.465285701","11","Venice"
"1-3202891321","2023-01-01T09:57:56.000","Bulky Items","Closed","12862 N DE GARMO AVE, 91342","34.3044067432","-118.448606443","7","Sylmar"
"1-3202888881","2023-01-01T09:58:35.000","Illegal Dumping Pickup","Closed","1415 E NEWTON ST, 90021","34.0260902932","-118.244115428","14","Downtown Los Angeles"
"1-3202894661","2023-01-01T09:58:58.000","Bulky Items","Closed","12862 N DE GARMO AVE, 91342","34.3044067432","-118.448606443","7","Sylmar"
"1-3202896251","2023-01-01T10:00:11.000","Bulky Items","Closed","12045 W HESBY ST, 91607","34.1622551065","-118.395828887","2","Valley Village"
"1-3202892141","2023-01-01T10:00:34.000","Bulky Items","Closed","12027 W OTSEGO ST, 91607","34.1631629047","-118.395401393","2","Valley Village"
"1-3202897831","2023-01-01T10:01:10.000","Bulky Items","Closed","3447 S WALKER AVE, 90731","33.7163510554","-118.304669366","15","Coastal San Pedro"
"1-3202898611","2023-01-01T10:01:12.000","Bulky Items","Closed","12544 N FRASER AVE, 91344","34.2985857376","-118.514322386","12","Granada Hills North"
"1-3202892851","2023-01-01T10:01:25.000","Bulky Items","Closed","10349 W ARMINTA ST, 91352","34.2141336756","-118.356952679","2","Sun Valley Area"
"1-3202895511","2023-01-01T10:02:38.000","Bulky Items","Closed","2839 S MEDILL PL, 90064","34.0383234615","-118.40101225","5","Westside"
"1-3202902851","2023-01-01T10:03:38.000","Bulky Items","Closed","18520 W VINCENNES ST, 91324","34.2408142685","-118.53719217","12","Northridge West"
"1-3202904781","2023-01-01T10:04:17.000","Bulky Items","Closed","1470 N WESTERLY TER, 90026","34.0863807781","-118.271220229","13","Silver Lake"
"1-3202906671","2023-01-01T10:04:25.000","Graffiti Removal","Cancelled","1772 N NORTH SPRING ST, 90031","34.0710154351","-118.223473942","1","Lincoln Heights"
"1-3202905811","2023-01-01T10:04:47.000","Bulky Items","Closed","18520 W VINCENNES ST, 91324","34.2408142685","-118.53719217","12","Northridge West"
"1-3202910411","2023-01-01T10:05:49.000","Graffiti Removal","Cancelled","1772 N NORTH SPRING ST, 90031","34.0710154351","-118.223473942","1","Lincoln Heights"
"1-3202911301","2023-01-01T10:06:43.000","Bulky Items","Closed","258 S BERENDO ST, 90004","34.0692808861","-118.294034198","10","Wilshire Center-Koreatown"
"1-3202914381","2023-01-01T10:06:56.000","Bulky Items","Closed","9014 W OLIN ST, 90034","34.0366766574","-118.389181276","5","South Robertson"
"1-3202911871","2023-01-01T10:07:01.000","Graffiti Removal","Cancelled","1772 N NORTH SPRING ST, 90031","34.0710154351","-118.223473942","1","Lincoln Heights"
"1-3202913181","2023-01-01T10:08:03.000","Bulky Items","Closed","10847 W BLIX ST, 91602","34.1567947498","-118.367487376","2","NoHo"
"1-3202917401","2023-01-01T10:09:15.000","Bulky Items","Closed","1038 N NORMANDIE AVE, 90029","34.0894893844","-118.300380808","13","East Hollywood"
"1-3202918211","2023-01-01T10:09:22.000","Bulky Items","Closed","10570 W ROCCA PL, 90077","34.0923499451","-118.447476631","5","Bel Air-Beverly Crest"
"1-3202920911","2023-01-01T10:09:39.000","Bulky Items","Closed","20803 W LUGANO WAY, 91326","34.2778631359","-118.585999365","12","Porter Ranch"
