"SRNumber","CreatedDate","RequestType","Status","Address","Latitude","Longitude","CD","NCName"
"1-3238807401","2023-01-06T09:09:53.000","Graffiti Removal","Closed","13950 W FOOTHILL BLVD, 91342","34.3128423845","-118.437727596","7","Sylmar"
"1-3238821291","2023-01-06T09:10:43.000","Bulky Items","Closed","15455 N GLENOAKS BLVD, 91342","34.324013665","-118.469919894","7","Sylmar"
"1-3238823551","2023-01-06T09:11:04.000","Homeless Encampment","Pending","612 E 80TH ST, 90001","33.9663100076","-118.26459669","9","CANNDU"
"1-3238826901","2023-01-06T09:11:21.000","Graffiti Removal","Closed","ECHANDIA ST AT MICHIGAN AVE, 90033","34.0499848843","-118.220001554","14","Boyle Heights"
"1-3238827181","2023-01-06T09:11:23.000","Bulky Items","Closed","13950 W FOOTHILL BLVD, 91342","34.3128423845","-118.437727596","7","Sylmar"
"1-3238828921","2023-01-06T09:11:37.000","Bulky Items","Closed","1441 W STONEWOOD CT, 90732","33.7615993473","-118.305772582","15","Northwest San Pedro"
"1-3238826511","2023-01-06T09:11:41.000","Bulky Items","Closed","6200 S AVALON BLVD, 90003","33.9826671645","-118.265039188","9","CANNDU"
"1-3238831101","2023-01-06T09:11:52.000","Bulky Items","Closed","158 E 89TH ST, 90003","33.9553991516","-118.271901842","8","Empowerment Congress Southeast"
"1-3238834371","2023-01-06T09:12:29.000","Bulky Items","Closed","5140 N WHITE OAK AVE, 91316","34.1638343758","-118.518408823","4","Encino"
"1-3238841051","2023-01-06T09:12:34.000","Homeless Encampment","Closed","705 N VISTA ST, 90046","34.0837173976","-118.352388104","5","Mid-City West"
"1-3238846911","2023-01-06T09:13:03.000","Bulky Items","Closed","3246 W LACLEDE AVE, 90039","34.11501062","-118.252611853","13","Atwater Village"
"1-3238847951","2023-01-06T09:13:13.000","Bulky Items","Closed","1670 N RICARDO ST, 90033","34.0627499674","-118.19629175","14",""
"1-3238853071","2023-01-06T09:13:41.000","Bulky Items","Closed","23872 W FRIAR ST, 91367","34.1852102763","-118.646310639","3","Woodland Hills-Warner Center"
"1-3238856911","2023-01-06T09:14:03.000","Bulky Items","Closed","1643 W 80TH ST, 90047","33.9664855832","-118.306238549","8","Empowerment Congress Southwest"
